,title,point,link,Show,date,genre,streaming_site,summary
61,Adventure Time,"7,373,000",https://flixpatrol.com//title/adventure-time/,TV Show,04/05/2010,Animation,"['google', 'hbo']","Adventure Time is an American animated television series created by Pendleton Ward for Cartoon Network. The series follows the adventures of Finn, a human boy, and his best friend and adoptive brother Jake, a dog with magical powers to change shape and grow and shrink at will. Finn and Jake live in the post-apocalyptic Land of Ooo. Along the way, they interact with the other main characters of the show: Princess Bubblegum, The Ice King, and Marceline the Vampire Queen."
62,American Dad!,"7,190,400",https://flixpatrol.com//title/american-dad/,TV Show,02/06/2005,Animation,"['disney', 'google', 'hulu', 'itunes', 'plus']","The series focuses on an eccentric motley crew that is the Smith family and their three housemates: Father, husband, and breadwinner Stan Smith; his better half housewife, Francine Smith; their college-aged daughter, Hayley Smith; and their high-school-aged son, Steve Smith. Outside of the Smith family, there are three additional main characters, including Hayley's boyfriend turned husband, Jeff Fischer; the family's man-in-a-goldfish-body pet, Klaus; and most notably the family's zany alien, Roger, who is ""full of masquerades, brazenness, and shocking antics."""
63,NCIS,"7,109,400",https://flixpatrol.com//title/ncis/,TV Show,09/23/2003,Crime,"['amazon', 'prime', 'google', 'itunes', 'plus']","From murder and espionage to terrorism and stolen submarines, a team of special agents investigates any crime that has a shred of evidence connected to Navy and Marine Corps personnel, regardless of rank or position."
64,Twilight,"7,087,000",https://flixpatrol.com//franchise/twilight/,Franchise,2008 – 2012,Fantasy,[],The Twilight movies are a romantic fantasy vampire series based on the series of novels by Stephenie Meyer.
65,Star Wars,"6,644,900",https://flixpatrol.com//franchise/star-wars/,Franchise,1977 – 2019,ScienceFiction,[],"An epic space-opera theatrical film series, which depicts the adventures of various characters a long time ago in a galaxy far, far away…."
66,Star Wars: The Clone Wars,"6,555,500",https://flixpatrol.com//title/star-wars-the-clone-wars-2008/,TV Show,10/03/2008,Spaceopera,"['disney', 'google', 'hbo', 'itunes']","Yoda, Obi-Wan Kenobi, Anakin Skywalker, Mace Windu and other Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists."
67,Alias,"6,499,200",https://flixpatrol.com//title/alias/,TV Show,09/30/2001,Action,['itunes'],"Sydney Bristow, an agent who has been tricked to believe she is working for the U.S. government, is actually working for a criminal organization named the Alliance of Twelve. Upon learning this, Sydney becomes a double agent for the real CIA."
68,Desperate Housewives,"6,468,900",https://flixpatrol.com//title/desperate-housewives/,TV Show,10/03/2004,Drama,"['disney', 'google', 'itunes', 'plus']","Desperate Housewives is an American television comedy-drama-mystery series created by Marc Cherry and produced by ABC Studios and Cherry Productions. It aired Sundays at 9 P.M. Eastern/8 P.M. Central, on ABC from October 3, 2004, until May 13, 2012. Executive producer Cherry served as showrunner. Other executive producers since the fourth season included Bob Daily, George W. Perkins, John Pardee, Joey Murphy, David Grossman, and Larry Shaw.  The main setting of the show was Wisteria Lane, a street in the fictional American town of 'Fairview' in the fictional 'Eagle State'. The show followed the lives of a group of women as seen through the eyes of a dead neighbor who committed suicide in the very first episode. The storyline covers thirteen years of the women's lives over eight seasons, set between the years 2004–2008, and later 2013–2017. They worked through domestic struggles and family life, while facing the secrets, crimes and mysteries hidden behind the doors of their — at the surface — beautiful and seemingly perfect suburban neighborhood.  The show featured an ensemble cast, headed by Teri Hatcher as Susan Mayer, Felicity Huffman as Lynette Scavo, Marcia Cross as Bree Van de Kamp, and Eva Longoria as Gabrielle Solis. Brenda Strong narrated the show as the deceased Mary Alice Young, appearing sporadically in flashbacks or dream sequences."
69,The Passion of the Christ,"6,442,000",https://flixpatrol.com//title/the-passion-of-the-christ/,Movie,02/24/2004,Drama,"['amazon', 'google', 'itunes']","\The Passion of the Christ\ is a film about the last 12 hours in the life of Jesus. Director Mel Gibson received much criticism from critics and audiences for his explicit depiction of and focus on violence and on christs suffering, especially on the part of the jewish community. The films languages are Arabic, Latin and Hebrew and its actors are laymen which was controversially received as well."
70,Black Mirror,"6,363,400",https://flixpatrol.com//title/black-mirror/,TV Show,12/04/2011,ScienceFiction,[],"A contemporary British re-working of The Twilight Zone with stories that tap into the collective unease about our modern world.   Over the last ten years, technology has transformed almost every aspect of our lives before we've had time to stop and question it. In every home; on every desk; in every palm - a plasma screen; a monitor; a smartphone - a black mirror of our 21st Century existence."
71,Criminal Minds,"6,334,100",https://flixpatrol.com//title/criminal-minds/,TV Show,09/22/2005,Crime,"['amazon', 'disney', 'fandango', 'google', 'itunes', 'plus', 'plus']","An elite team of FBI profilers analyze the country's most twisted criminal minds, anticipating their next moves before they strike again. The Behavioral Analysis Unit's most experienced agent is David Rossi, a founding member of the BAU who returns to help the team solve new cases."
72,The Event,"6,304,000",https://flixpatrol.com//title/the-event/,Movie,09/20/2010,09/20/2010,['itunes'],"The Event is an American television series containing elements of science fiction, action/adventure and political allegory. The show was created by Nick Wauters, and premiered on NBC on September 20, 2010. The plot centers on a group of extraterrestrials, some of whom have been detained by the United States government for sixty-six years since their ship crashed in Alaska, while others have secretly assimilated among the general populace. The series was picked up for a full first season of 22 episodes on October 18, 2010. NBC canceled the series on May 13, 2011."
