,title,point,link,Show,date,genre,streaming_site,summary
222,Columbo,"484,300",https://flixpatrol.com//title/columbo/,TV Show,09/15/1971,Crime,"['google', 'itunes']","Columbo is a friendly, verbose, disheveled-looking police detective who is consistently underestimated by his suspects. Despite his unprepossessing appearance and apparent absentmindedness, he shrewdly solves all of his cases and secures all evidence needed for indictment. His formidable eye for detail and meticulously dedicated approach often become clear to the killer only late in the storyline."
223,Pink Panther,"483,900",https://flixpatrol.com//franchise/pink-panther/,Franchise,1963 – 2009,1963–2009,[],The Pink Panther is a movie series of live action mixed with animation totaling in six official films and three not official films. The main character is a clumsy inspector named Jacques Clouseau who is played by Peter Sellers in the official Pink Panther films. Today The Pink Panther is the famous trademark of a huge franchise.
224,TRON,"481,900",https://flixpatrol.com//franchise/tron/,Franchise,1982 – 2010,ScienceFiction,[],"STARRING
Jeff Bridges, David Warner, Olivia Wilde, Garrett Hedlund, Bruce Boxleitner


DIRECTED BY
Joseph Kosinski, Steven Lisberger"
225,Toy Story,"475,800",https://flixpatrol.com//franchise/toy-story/,Franchise,1995 – 2019,Animated,[],"Toy Story is a CGI animated media franchise created by Pixar and distributed by Walt Disney Pictures. The franchise is based on the anthropomorphic concept that all toys, unknown to humans, are secretly alive, and the films focus on a diverse group of toys that feature a classic cowboy named Sheriff Woody and a modern spaceman named Buzz Lightyear. The group unexpectedly embark on adventures that challenge and change them."
226,Silicon Valley,"470,500",https://flixpatrol.com//title/silicon-valley/,TV Show,04/06/2014,Comedy,"['google', 'itunes']","In the high-tech gold rush of modern Silicon Valley, the people most qualified to succeed are the least capable of handling success. Partially inspired by Mike Judge’s own experiences as a Silicon Valley engineer in the late ‘80s, Silicon Valley is an American sitcom that centers around six programmers who are living together and trying to make it big in the Silicon Valley."
227,CSI: NY,"460,100",https://flixpatrol.com//title/csi-ny/,TV Show,09/22/2004,09/22/2004,[],"CSI: NY is an American police procedural television series that ran on CBS from September 22, 2004 to February 22, 2013 for a total of nine seasons and 197 original episodes. The show follows the investigations of a team of NYPD forensic scientists and police officers identified as ""Crime Scene Investigators""."
228,Shrek,"454,800",https://flixpatrol.com//franchise/shrek/,Franchise,2001 – 2011,Animated,[],"STARRING
Eddie Murphy, Mike Myers, Cameron Diaz, Antonio Banderas, Salma Hayek, Zach Galifianakis


DIRECTED BY
Andrew Adamson, Chris Miller, Conrad Vernon, Vicky Jenson, Mike Mitchell, Raman Hui, Kelly Asbury"
229,The Americans,"449,800",https://flixpatrol.com//title/the-americans/,TV Show,01/30/2013,Drama,['google'],"Set during the Cold War period in the 1980s, The Americans is the story of Elizabeth and Philip Jennings, two Soviet KGB officers posing as an American married couple in the suburbs of Washington D.C. and their neighbor, Stan Beeman, an FBI Counterintelligence agent."
230,Men In Black,"446,400",https://flixpatrol.com//franchise/men-in-black/,Franchise,1997 – 2019,ScienceFiction,[],A series of American science fiction action comedy films based on Malibu  Marvel comic book series The Men in Black by Lowell Cunningham. Stylized MIB and spawned 2 numbered sequels as well as a spin-off.
231,2012,"445,500",https://flixpatrol.com//title/2012/,Movie,10/10/2009,ScienceFiction,"['itunes', 'netflix']","Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build \arks\ to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world."
232,The Revenant,"445,400",https://flixpatrol.com//title/the-revenant/,Movie,12/25/2015,Drama,"['amazon', 'google', 'hbo', 'itunes', 'netflix']","In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling."
233,Constantine,"442,700",https://flixpatrol.com//title/constantine/,TV Show,10/24/2014,Superhero,"['hbo', 'itunes']",A man struggling with his faith is haunted by the sins of his past but is suddenly thrust into the role of defending humanity from the gathering forces of darkness.
234,The Silence of the Lambs,"438,700",https://flixpatrol.com//title/the-silence-of-the-lambs/,Movie,02/01/1991,Serialkiller,"['amazon', 'google', 'hbo', 'itunes', 'netflix']","FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. But her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose."
235,Battlestar Galactica,"434,700",https://flixpatrol.com//franchise/battlestar-galactica/,Franchise,1978 – 2012,1978–2012,[],"Follows the trials of the Colonial Fleet vessel Battlestar Galactica as it leads the last remaining humans on a search for Earth.  Its been 40 years since the 12 colonies of mankind have heard from their progeny, the Cylons -- robotic creatures who rose up and declared war on their masters, then disappeared. In a sudden, devastating strike, the Cylons return and lay waste to the colonies, aided by human-looking Cylon variants and an unwitting fifth columnist. The attack forces Commander William Adama to call into action his museum-piece warship, the Battlestar Galactica, and soon its company of hotshot fighter pilots is blasting away at the invaders. But their best efforts cant prevent the colonies obliteration. Fleeing the Cylon genocide, the Galactica leads a rag-tag fleet of survivors on a lonely quest to find humanitys fabled 13th colony -- a planet known as Earth"
236,Resident Evil,"431,900",https://flixpatrol.com//franchise/resident-evil/,Franchise,2002 – 2017,ScienceFiction,[],"The Resident Evil film series is loosely based upon the Capcom video games of the same name. The films follow the protagonist Alice, a character created for the films. The Umbrella Corporation acts as the main antagonist, a bioengineering pharmaceutical company responsible for the zombie apocalypse as a result of founding the T-virus."
237,Godzilla,"430,000",https://flixpatrol.com//franchise/godzilla/,Franchise,2019 – 2021,ScienceFiction,[],An American multimedia franchise and shared fictional universe that is part of the MonsterVerse which is centered on a series of monster films featuring Godzilla and King Kong.
238,The Leftovers,"424,000",https://flixpatrol.com//title/the-leftovers/,TV Show,06/29/2014,Mystery,['google'],"When 2% of the world's population abruptly disappears without explanation, the world struggles to understand just what they're supposed to do about it. The drama series 'The Leftovers' is the story of the people who didn't make the cut.  Based on the bestselling novel by Tom Perrotta, 'The Leftovers' follows Kevin Garvey, a father of two and the chief of police in a small New York suburb, as he tries to maintain some semblance of normalcy when the notion no longer applies."
239,Dirty Dancing,"415,300",https://flixpatrol.com//franchise/dirty-dancing/,Franchise,1987 – 2004,Romance,[],"Dirty Dancing is a 1987 American romance film. Written by Eleanor Bergstein and directed by Emile Ardolino, the film features Patrick Swayze and Jennifer Grey in the lead roles, as well as Cynthia Rhodes and Jerry Orbach. The story is a coming of age drama that documents a teenage girls coming of age through a relationship with a dance instructor whom she encounters during the familys summer vacation. In 2004, a prequel to the film was released, Dirty Dancing: Havana Nights. Although not a remake, Havana Nights showcases a similar storyline about an American teenager learning about life through dance, when her family relocates to Havana, Cuba just before the 1959 Cuban Revolution. Patrick Swayze was paid $5 million to appear in a cameo role as a dance teacher — considerably more than the $200,000 he earned for the first film."
240,The Last Kingdom,"412,000",https://flixpatrol.com//title/the-last-kingdom/,TV Show,10/10/2015,History,"['google', 'itunes', 'netflix']","A show of heroic deeds and epic battles with a thematic depth that embraces politics, religion, warfare, courage, love, loyalty and our universal search for identity. Combining real historical figures and events with fictional characters, it is the story of how a people combined their strength under one of the most iconic kings of history in order to reclaim their land for themselves and build a place they call home."
241,Grace and Frankie,"406,500",https://flixpatrol.com//title/grace-and-frankie/,TV Show,05/08/2015,Comedy,['netflix'],"Elegant, proper Grace and freewheeling, eccentric Frankie are a pair of frenemies whose lives are turned upside down - and permanently intertwined - when their husbands leave them for each other. Together, they must face starting over in their 70s in a 21st century world."
242,The Devil Wears Prada,"403,600",https://flixpatrol.com//title/the-devil-wears-prada/,Movie,06/30/2006,Romance,"['amazon', 'disney', 'google', 'hbo', 'itunes', 'netflix', 'plus']",The Devil Wears Prada is about a young journalist who moves to New York to work in the fashion industry. Her boss however is extremely demanding and cruel and won't let her succeed if she doesn't fit into the high class elegant look of their magazine when all she really wants to be a good journalist.
243,Avengers,"397,100",https://flixpatrol.com//franchise/avengers/,Franchise,2012 – 2019,Superhero,[],"A superhero film series produced by Marvel Studios based on the Marvel Comics superhero team of the same name, and part of the Marvel Cinematic Universe (MCU).  The series features an ensemble cast from the Marvel Cinematic Universe series films, as they join forces for the peacekeeping organization S.H.I.E.L.D. led by Nick Fury."
244,Life of Pi,"396,900",https://flixpatrol.com//title/life-of-pi/,Movie,11/21/2012,Drama,['itunes'],"The story of an Indian boy named Pi, a zookeepers son who finds himself in the company of a hyena, zebra, orangutan, and a Bengal tiger after a shipwreck sets them adrift in the Pacific Ocean."
245,12 Years a Slave,"395,700",https://flixpatrol.com//title/12-years-a-slave/,Movie,10/30/2013,Drama,"['amazon', 'itunes', 'netflix']","In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life."
246,Predator,"395,200",https://flixpatrol.com//franchise/predator/,Franchise,1987 – 2018,ScienceFiction,[],A science fiction action film series centered on a warrior class extraterrestrial species with technologically advanced weaponry that travel to Earth to trophy hunt human beings.
247,Hobbit,"380,000",https://flixpatrol.com//franchise/hobbit/,Franchise,2012 – 2014,Fantasy,[],"The Hobbit collection is a three-part epic fantasy-adventure film directed and produced by Peter Jackson and based on J. R. R. Tolkiens fantasy novel of the same name. The trilogy of films are set in Middle-earth 60 years before The Lord of the Rings, and will act as a prequel to Jacksons The Lord of the Rings trilogy."
248,Band of Brothers,"375,300",https://flixpatrol.com//title/band-of-brothers/,TV Show,09/09/2001,War,"['amazon', 'fandango', 'google', 'hbo', 'itunes']","Drawn from interviews with survivors of Easy Company, as well as their journals and letters, Band of Brothers chronicles the experiences of these men from paratrooper training in Georgia through the end of the war. As an elite rifle company parachuting into Normandy early on D-Day morning, participants in the Battle of the Bulge, and witness to the horrors of war, the men of Easy knew extraordinary bravery and extraordinary fear - and became the stuff of legend. Based on Stephen E. Ambrose's acclaimed book of the same name."
249,Blade Runner,"367,300",https://flixpatrol.com//franchise/blade-runner/,Franchise,2017 – 2017,ScienceFiction,[],"An American neo-noir science-fiction film series set in a dystopian Los Angeles, depicting a future in which synthetic humans known as replicants are bio-engineered by the powerful Tyrell Corporation, to work on off-world colonies. Based on the novel Do Androids Dream of Electric Sheep?"
250,A Nightmare on Elm Street,"367,200",https://flixpatrol.com//franchise/a-nightmare-on-elm-street/,Franchise,1984 – 2010,Horror,[],A slasher film series revolving around people who are stalked and killed in their dreams by Freddy Krueger.
251,Guardians of the Galaxy,"365,400",https://flixpatrol.com//franchise/guardians-of-the-galaxy/,Franchise,2014 – 2017,Superhero,[],"A superhero film series based on the Marvel Comics superhero team Guardians of the Galaxy, and part of the Marvel Cinematic Universe (MCU) series. The series is centered on a band of former intergalactic outlaws, who have teamed together to protect the Galaxy from planetary threats. Led by Peter Quill (Star-Lord) the roster includes Gamora, Drax the Destroyer, Rocket Raccon & Groot."
252,We're the Millers,"354,700",https://flixpatrol.com//title/were-the-millers/,Movie,08/07/2013,Comedy,"['google', 'hbo', 'itunes', 'netflix']",A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.
253,Garfield,"349,000",https://flixpatrol.com//franchise/garfield/,Franchise,2004 – 2006,Comedy,[],"Garfield: The Movie, or simply Garfield, is a 2004 American family comedy film directed by Peter Hewitt and inspired by Jim Davis comic strip of the same name. It stars Breckin Meyer as Jon Arbuckle, Jennifer Love Hewitt as Dr. Liz Wilson, and features Bill Murray as the voice of Garfield. Garfield the cat was created with computer animation, though all other animals were real. A sequel Garfield: A Tail of Two Kitties was released 2006."
254,Monsters vs Aliens,"347,000",https://flixpatrol.com//title/monsters-vs-aliens/,Movie,03/26/2009,Animated,"['itunes', 'netflix']","When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters..."
255,Mission Impossible,"343,700",https://flixpatrol.com//franchise/mission-impossible/,Franchise,1996 – 2022,Action,[],Mission: Impossible is a series of a secret agent thriller films based on the popular television series. They chronicle the missions of a team of secret government agents known as the Impossible Missions Force (IMF) under the leadership of Hunt.
256,Raised by Wolves,"338,800",https://flixpatrol.com//title/raised-by-wolves-2020/,TV Show,09/03/2020,ScienceFiction,"['google', 'hbo', 'itunes']","Two androids are tasked with raising human children on a mysterious virgin planet. As the burgeoning colony of humans threatens to be torn apart by religious differences, the androids learn that controlling the beliefs of humans is a treacherous and difficult task."
257,Ride Along,"337,800",https://flixpatrol.com//franchise/ride-along/,Franchise,2014 – 2016,2014–2016,[],"STARRING
Ice Cube, Kevin Hart, John Leguizamo, Olivia Munn


DIRECTED BY
Tim Story"
258,It's Complicated,"336,800",https://flixpatrol.com//title/its-complicated/,Movie,12/25/2009,Comedy,"['google', 'itunes', 'netflix']","Ten years after their divorce, Jane and Jake Adler unite for their son's college graduation and unexpectedly end up sleeping together. But Jake is married, and Jane is embarking on a new romance with her architect, Adam. Now, she has to sort out her life -- just when she thought she had it all figured out."
259,The Bridge,"330,300",https://flixpatrol.com//title/the-bridge-2011/,TV Show,09/21/2011,Crime,['itunes'],"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer."
260,Fantastic Beasts,"314,100",https://flixpatrol.com//franchise/fantastic-beasts/,Franchise,2016 – 2018,Fantasy,[],"The Fantastic Beasts films are a fantasy series based on and inspired by the textbook mentioned in the Harry Potter novels by British writer J. K. Rowling. Set in the same Wizarding World franchise, they follow the adventures of Newt Scamander a self-proclaimed magizoologist along with Porpentina Tina Goldstein a MACUSA auror."
261,The Tudors,"311,300",https://flixpatrol.com//title/the-tudors/,TV Show,04/01/2007,History,"['google', 'itunes']","The Tudors is a history-based drama series following the young, vibrant King Henry VIII, a competitive and lustful monarch who navigates the intrigues of the English court and the human heart with equal vigor and justifiable suspicion."
262,The Mummy,"303,500",https://flixpatrol.com//franchise/the-mummy/,Franchise,1999 – 2008,Adventure,[],"STARRING
Brendan Fraser, John Hannah, Rachel Weisz, Jet Li


DIRECTED BY
Stephen Sommers, Rob Cohen"
263,Hulk,"297,600",https://flixpatrol.com//franchise/hulk/,Franchise,2003 – 2008,Superhero,[],"The larger-than-life Marvel Superhero The Hulk explodes onto the big screen! After a freak lab accident unleashes a genetically enhanced, impossibly strong creature, a terrified world must marshal its forces to stop a being with abilities beyond imagination."
264,Insidious,"295,400",https://flixpatrol.com//franchise/insidious/,Franchise,2010 – 2018,Horror,[],"A series of American horror films where the plots are depicted as case files of demonologists. The first two films center on a couple who, after their son mysteriously enters a comatose state and becomes a vessel for ghosts in an astral plane, are continuously haunted by demons of a hellish realm known as the Further until they take from the family what they want most: life. The third film, a prequel, focuses on the same psychic that helped the family this time come to the aid of a young girl who calls out to the dead."
265,Labyrinth,"293,100",https://flixpatrol.com//title/labyrinth-1986/,Movie,06/27/1986,Fantasy,['google'],"Frustrated with babysitting on yet another weekend night, Sarah - a teenager with an active imagination - summons the Goblins from her favourite book, Labyrinth"
266,Beauty and the Beast,"291,400",https://flixpatrol.com//franchise/beauty-and-the-beast/,Franchise,1991 – 2017,Animated,[],The collection of Disneys Beauty and the Beast movies
267,Ant-Man,"284,800",https://flixpatrol.com//franchise/ant-man/,Franchise,2015 – 2018,Superhero,[],"A superhero film series based on the Marvel Comics character Ant-Man, and part of the Marvel Cinematic Universe (MCU) series. The series is centered on Scott Lang, an ex-convict that stole a suit that allows him to change his size. Hank Pym, the original Ant-Man, discovered the subatomic particles that make the transformation possible. Hank mentors Scott to take over the superhero alias."
268,Six Feet Under,"283,500",https://flixpatrol.com//title/six-feet-under/,TV Show,06/03/2001,Drama,['itunes'],"A darkly comic look at members of a dysfunctional L.A. family that run a funeral business.   When death is your business, what is your life? For the Fisher family, the world outside of their family-owned funeral home continues to be at least as challenging as--and far less predictable than--the one inside."
269,Lego Ninjago,"282,900",https://flixpatrol.com//franchise/lego-ninjago/,Franchise,2017,Animation,[],"STARRING
Jackie Chan, Dave Franco, Michael Pena, Michael Adamthwaite, Paul Dobson, Brent Miller


DIRECTED BY
Charlie Bean"
270,Back to the Future,"280,700",https://flixpatrol.com//franchise/back-to-the-future/,Franchise,1985 – 1990,ScienceFiction,[],"An American science fiction–comedy film series that follows the adventures of a high school student, Marty McFly and an eccentric scientist, Dr Emmett L. Brown as they use a DeLorean time machine to time travel to different periods in the history of Hill Valley, California."
271,Hellboy,"279,700",https://flixpatrol.com//title/hellboy/,Movie,04/02/2004,IndependentComics,['itunes'],"In the final days of World War II, the Nazis attempt to use black magic to aid their dying cause. The Allies raid the camp where the ceremony is taking place, but not before a demon - Hellboy - has already been conjured. Joining the Allied forces, Hellboy eventually grows to adulthood, serving the cause of good rather than evil."
272,Hellboy,"279,700",https://flixpatrol.com//title/hellboy/,Franchise,2004 – 2008,Superhero,[],"The character Hellboy is a demon who fights for the U.S. government and himself against dark forces including Nazis and Baba Yaga, in a series of tales that have their roots in folklore, pulp magazines, vintage adventure, and horror fiction. This collection includes the theatrical release films."
273,Hellboy,"143,600",https://flixpatrol.com//franchise/hellboy/,Movie,04/02/2004,IndependentComics,['itunes'],"In the final days of World War II, the Nazis attempt to use black magic to aid their dying cause. The Allies raid the camp where the ceremony is taking place, but not before a demon - Hellboy - has already been conjured. Joining the Allied forces, Hellboy eventually grows to adulthood, serving the cause of good rather than evil."
274,Hellboy,"143,600",https://flixpatrol.com//franchise/hellboy/,Franchise,2004 – 2008,Superhero,[],"The character Hellboy is a demon who fights for the U.S. government and himself against dark forces including Nazis and Baba Yaga, in a series of tales that have their roots in folklore, pulp magazines, vintage adventure, and horror fiction. This collection includes the theatrical release films."
275,Monty Python,"278,900",https://flixpatrol.com//franchise/monty-python/,Franchise,Documentary,Documentary,[],"STARRING
John Cleese, Terry Gilliam, Graham Chapman, Eric Idle, Terry Jones, Michael Palin, Connie Booth


DIRECTED BY
Terry Gilliam, Eric Idle, Terry Jones, Ian MacNaughton, Terry Hughes, Aubrey Powell, Albert Sharpe"
276,Zombieland,"278,800",https://flixpatrol.com//franchise/zombieland/,Franchise,2009 – 2019,Horror,[],"A series of films centering on a group of survivors making their way through a zombie apocalypse which resulted from a strain of mad cow disease that mutated into mad person disease that became mad zombie disease. Survivors of the zombie epidemic have learned that growing attached to other survivors is not advisable because they could die at any moment, so many have taken to using their city of origin as nicknames."
277,Mad Max,"276,000",https://flixpatrol.com//franchise/mad-max/,Franchise,1979 – 2015,ScienceFiction,[],"Mad Max is an Australian dystopian action media franchise. Mad Max references are deeply embedded in popular culture references to its dystopian, apocalyptic, and post-apocalyptic themes and bizarre landscape and desolate wasteland imagery."
278,Ghostbusters,"271,900",https://flixpatrol.com//franchise/ghostbusters/,Franchise,1984 – 2021,Horror,[],"Ghostbusters is a 1984 American supernatural comedy film, directed and produced by Ivan Reitman and written by Dan Aykroyd and Harold Ramis. The film stars Bill Murray, Aykroyd, and Ramis as three eccentric parapsychologists in New York City who start a ghost-catching business. The second film, Ghostbusters II, was released in 1989."
279,Broadchurch,"266,700",https://flixpatrol.com//title/broadchurch/,TV Show,03/04/2013,Crime,"['amazon', 'google', 'itunes']","The murder of a young boy in a small coastal town brings a media frenzy, which threatens to tear the community apart."
280,Kill Bill,"260,600",https://flixpatrol.com//franchise/kill-bill/,Franchise,2003 – 2004,Action,[],"STARRING
Uma Thurman, Vivica A. Fox, David Carradine, Lucy Liu


DIRECTED BY
Quentin Tarantino"
281,Incredibles,"258,800",https://flixpatrol.com//franchise/incredibles/,Franchise,2004 – 2018,Animated,[],"STARRING
Brad Bird, Craig T. Nelson, Holly Hunter, Eli Fucile, Sarah Vowell, Bud Luckey


DIRECTED BY
Brad Bird, Jerry Zaks, Ted Mathot"
282,Rambo,"258,100",https://flixpatrol.com//franchise/rambo/,Franchise,1982 – 2019,Action,[],"A series of action films that follows John Rambo, a US Army veteran, who is traumatized by his experience in the Vietnam War, and uses the skills he gained there to fight corrupt police officers, enemy troops and drug cartels."
283,Inglourious Basterds,"257,200",https://flixpatrol.com//title/inglourious-basterds/,Movie,08/21/2009,War,"['prime', 'hbo', 'hulu', 'itunes', 'netflix']","In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as \The Basterds\ are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers."
284,"Monsters, Inc.","255,100",https://flixpatrol.com//franchise/monsters-inc/,Franchise,2001 – 2014,Animated,[],An American computer-animated comedy-adventure film series produced by Pixar Animation Studios
285,Edward Scissorhands,"250,600",https://flixpatrol.com//title/edward-scissorhands/,Movie,12/05/1990,Fantasy,"['disney', 'google', 'hulu', 'itunes']",A small suburban town receives a visit from a castaway unfinished science experiment named Edward.
286,Hell on Wheels,"250,000",https://flixpatrol.com//title/hell-on-wheels/,TV Show,11/06/2011,Canada,[],"Hell on Wheels tells the epic story of post-Civil War America, focusing on Cullen Bohannon, a Confederate soldier who sets out to exact revenge on the Union soldiers who killed his wife. His journey takes him west to Hell on Wheels, a dangerous, raucous, lawless melting pot of a town that travels with and services the construction of the first transcontinental railroad, an engineering feat unprecedented for its time."
287,High School Musical,"246,400",https://flixpatrol.com//franchise/high-school-musical/,Franchise,2006 – 2020,Comedy,[],"The High School Musical film series chronicles two high school students, Troy Bolton, captain of East High School’s basketball team (Wildcats) and Gabriella Montez, a shy top student. Both of them try out for the lead roles in their schools musical and quickly fall in love in the process, despite the lack of support from the rest of their classmates, one of them being Sharpay Evans and her brother sidekick Ryan Evans. The film also focuses on Chad Danforth, Troys best friend and Taylor McKessie, Gabriellas best friend who fall in love, too."
288,Kung Fu Panda,"245,500",https://flixpatrol.com//franchise/kung-fu-panda/,Franchise,2008 – 2016,Animated,[],"STARRING
Dustin Hoffman, Jack Black, Angelina Jolie, Bryan Cranston, Kari Wahlgren, Mick Wingert, James Sie


DIRECTED BY
Tim Johnson, Mark Osborne, John Stevenson, Jennifer Yuh Nelson, Alessandro Carloni"
289,Terminator,"244,900",https://flixpatrol.com//franchise/terminator/,Franchise,1984 – 2019,ScienceFiction,[],"A series of science-fiction films about the futuristic conflict between the humans led by John Connor and the Terminators that are made and controlled by Skynet, a self-aware super computer that started Armageddon and may indeed end humanity for good. Skynets most well-known products in its genocidal goals are the various terminator models, such as the T-800 (Model 101)."
290,Shaun The Sheep,"244,000",https://flixpatrol.com//franchise/shaun-the-sheep/,Franchise,2007 – 2020,Animated,[],"Shaun, an unusually bright and clever sheep, lives with his flock at Mossy Bottom Farm, a traditional small northern English farm. In each episode, their latest attempt to add excitement to their dull mundane life as livestock somehow snowballs into a fantastic sitcom-style escapade, most often with the help of their fascination with human doings and devices. This usually brings them into conflict—and often into partnership—with the farm sheepdog Bitzer, while they all are simultaneously trying to avoid discovery by the Farmer."
291,Lie to Me,"243,700",https://flixpatrol.com//title/lie-to-me/,TV Show,01/01/2009,UnitedStates,[],"In this procedural crime drama, Dr. Cal Lightman helps the police by using his knowledge of human behavior to determine whether a person is lying."
292,Danny Ocean,"239,400",https://flixpatrol.com//franchise/danny-ocean/,Franchise,2001 – 2018,Crime,[],The Oceans Collection is a star-studded film series about a group of professional robbers who get together to pull off some mind-boggling heists.
293,Flintstones,"238,700",https://flixpatrol.com//franchise/flintstones/,Franchise,1994 – 2000,Comedy,[],"The two live-action films are featured in The Flintstones Yabba Dabba Two-Pack! Its the Hanna-Barbera classic like youve never seen it before, as director Brian Levant and his creative team capture all the wacky gadgets, colorful creatures and clever visual gags of Bedrock with wild imagination. A rock-solid cast, including John Goodman, Rick Moranis, Rosie ODonnell and Academy Award winners Halle Berry and Elizabeth Taylor, breathe comic life into Fred Flintstone and his friends hilarious attempts to make it in a barely civilized world."
294,Expendables,"235,900",https://flixpatrol.com//franchise/expendables/,Franchise,2010 – 2014,Action,[],"An ensemble action film series about a group of elite mercenaries. The series pay tribute to the blockbuster action films of the 1980s and early 1990s, and stars an array of action veterans from those decades."
295,Wish I Was Here,"235,400",https://flixpatrol.com//title/wish-i-was-here/,Movie,01/18/2014,01/18/2014,['itunes'],"Aidan Bloom, a struggling actor, father and husband, is 35 years old and still trying to find a purpose for his life. He and his wife are barely getting by financially and Aidan passes his time by fantasizing about being the great futuristic Space-Knight he'd always dreamed he'd be as a little kid. When his ailing father can no longer afford to pay for private school for his two kids and the only available public school is on its last legs, Aidan reluctantly agrees to attempt to home-school them. Through teaching them about life his way, Aidan gradually discovers some of the parts of himself he couldn't find."
296,Wolverine,"231,700",https://flixpatrol.com//franchise/wolverine/,Franchise,2009 – 2017,Superhero,[],"A superhero film series based on the comic book character of the same name published by Marvel Comics. The series centers on Wolverine a mutant possesses animal-keen senses, enhanced physical capabilities, powerful regenerative ability known as a healing factor, and three retractable claws in each hand. Wolverines alter ego is James Howlett and he is also known as Logan or Weapon X."
297,Wilfred,"225,300",https://flixpatrol.com//title/wilfred/,TV Show,06/23/2011,06/23/2011,['google'],"Everyone else sees Wilfred as just a dog, but Ryan sees a crude and somewhat surly, yet irrepressibly brave and honest Australian bloke in a cheap dog suit. While leading him through a series of comedic and existential adventures, Wilfred the dog shows Ryan the man how to overcome his fears and joyfully embrace the unpredictability and insanity of the world around him."
298,The Pianist,"222,600",https://flixpatrol.com//title/the-pianist/,Movie,09/24/2002,Biopic,"['itunes', 'netflix']",The Pianist is a film adapted from the biography of Wladyslaw Szpilman. A Jewish-Polish pianist who during the second world war lived and hid miraculously in Warsaw after having gone through a terrible tragedy. A film from Roman Polanski.
299,August Rush,"222,200",https://flixpatrol.com//title/august-rush/,Movie,11/21/2007,11/21/2007,"['itunes', 'netflix']","A drama with fairy tale elements, where an orphaned musical prodigy uses his gift as a clue to finding his birth parents."
300,Jumanji,"221,100",https://flixpatrol.com//franchise/jumanji/,Franchise,1995 – 2019,Adventure,[],"A series of films based around a 1981 fantasy childrens picture book of the same name, written and illustrated by the American author Chris Van Allsburg. They follow the adventures of various people who find themselves imperiled when playing a magic board game called Jumanji that will either trap players within its dangerous jungle world or unleash its menaces into the real world. Ultimately, the only way to end the disruptions is to finish the game while enduring its resulting dangers with each succeeding move, after which everything is restored to normal outside of the players memories."
301,King Kong,"220,600",https://flixpatrol.com//franchise/king-kong/,Franchise,1933 – 2017,ScienceFiction,[],"STARRING
Samuel L. Jackson, Jeff Bridges, Jack Black, Naomi Watts, Adrien Brody, Fay Wray, Charles Grodin


DIRECTED BY
Peter Jackson, John Guillermin, Jordan Vogt-Roberts"
302,Top Gun,"218,100",https://flixpatrol.com//franchise/top-gun/,Franchise,1986 – 2021,Action,[],"Film series based on the character Lieutenant Pete Maverick Mitchell, a US Naval Aviator."
303,X-Men,"217,700",https://flixpatrol.com//franchise/x-men/,Franchise,2000 – 2020,Superhero,[],A superhero film series about a team of mutant superheroes based on the Marvel Comics superheroes of the same name.
304,Paranormal Activity,"212,800",https://flixpatrol.com//franchise/paranormal-activity/,Franchise,2009 – 2015,Horror,[],"STARRING
Katie Featherston, David Bierend, Brian Boland, Sprague Grayden, Micah Sloat, Eddie J. Fernandez, Mark Fredrichs


DIRECTED BY
Henry Joost, Ariel Schulman, Tod Williams, Oren Peli, Christopher Landon"
