,id,reviewScore,createDate,reviewContent
7,3373059041,4,2022-02-22T05:50:48.289+0000,"타사 콜라겐 먹다가 이번에 영양제 제구매하면서 주문해봤어요.
석류가 여자한테 좋기도 하지만 거기다 콜라겐까지 기대됩니다."
8,3357319231,5,2022-01-29T20:35:46.323+0000,설 연휴 가벼운 선물로 골랐어요 다른 건강식품보다 부담없이 먹을 수 있어서 좋은 것 같아요 :)
9,3362777872,3,2022-02-08T13:01:00.177+0000,먹기 편해서 좋아요 랑도 같이 먹고 있어요 빈속에 먹으면 속이 쓰릴수있어요
10,3367483065,5,2022-02-14T13:12:16.486+0000,포장상태 괜찮고 새콤달콤하지는 않지만 먹을만합니다
11,3360258215,5,2022-02-05T09:30:06.498+0000,"분자구조가 작기에 흡수용이해요 앞으로 쭉 애용할께요
석류많이들어가서 더 좋아요"
12,3370444596,5,2022-02-18T06:43:27.960+0000,배송빠르고 먹기 간편하네요
13,3372713282,5,2022-02-21T14:14:48.200+0000,부모님 선물로 구매!!
14,3364509399,5,2022-02-10T12:37:16.608+0000,석류 라 달달새콤하니 맛있더라구요. 젤리먹는거 같아요 ㅎㅎ
15,3365611520,5,2022-02-12T01:21:16.632+0000,어머니가 이거만 찾아요~잘목을게용!
16,3372648325,5,2022-02-21T12:24:26.494+0000,먹기편하구 좋아용👍👍
17,3370655551,4,2022-02-18T11:32:08.256+0000,잘받았습니다 감사합니다
18,3367657929,5,2022-02-15T01:08:13.575+0000,매일 먹어요 조씁니다.
19,3368529871,3,2022-02-16T01:19:42.049+0000,신맛이 강하긴한데  먹기는 편리해요
0,3365300706,5,2022-02-11T10:48:37.295+0000,알로에로 갈아탔다가 다시 석류로 돌아왓어요 굿굿
1,3363489456,5,2022-02-09T09:55:51.376+0000,맛있어요 잠이 안와서. 먹으려고 샀는데 맛까지 좋네요
2,3369275055,5,2022-02-16T22:35:05.927+0000,여성갱년기에 좋은 석류 잘샀어요 ㅎㅎ
3,3373515559,5,2022-02-22T14:24:54.022+0000,맛도 괜찮고 가성비도 굿!!!!
4,3365965108,5,2022-02-12T08:22:41.453+0000,석류 콜라겐 다른 제품 먹다가 바꿨는데 시지 않고 맛있네요
5,3367900470,4,2022-02-15T06:16:06.698+0000,"잘받았습니다 
리뷰가 좋아 구매 했습니다"
6,3369816943,4,2022-02-17T11:00:42.284+0000,맛좋고 저렴하게 잘 샀어요
7,3371317365,4,2022-02-19T10:22:21.354+0000,매번 느끼는거지만 입구가 잘 안찢어져요...그리고 일부 액상이 남아있어서 옷에 묻는경우가 많아요 ... 이부분은 제품 리뉴얼이 필요한듯 합니다
8,3369867575,4,2022-02-17T12:02:27.850+0000,"수면장애가 있어서..
도움이되길"
9,3370623479,5,2022-02-18T10:45:16.800+0000,꾸준히 먹어보려고요
10,3363016580,5,2022-02-09T00:15:31.463+0000,처음 먹어보는데 새콤하고 쫀득하네요. 효과 있음 쭉~~~
11,3373404233,5,2022-02-22T12:19:51.372+0000,배송이빨라요~~~~
12,3362271773,5,2022-02-08T04:22:48.527+0000,꼬박꼬박 잘 챙겨먹고 있어요~~ 석류랑 콜라겐이랑 동시 섭취~~!!^^
13,3367265546,5,2022-02-14T06:52:05.043+0000,좋아요 잘먹고 있어요
14,3362212959,5,2022-02-08T03:24:12.389+0000,잘받았습니다 재재구매했아요
15,3366574028,5,2022-02-13T07:03:20.845+0000,세일을 해서 저렴한 가격에 구매했어요
16,3365557316,5,2022-02-11T23:49:21.591+0000,감사합니다. 잘 받았어요
17,3360427333,5,2022-02-05T12:33:39.665+0000,엄마 사드렸는데 맛있다고 좋아하시네용!! 스틱이라 먹기도 엄청 편해용!!
18,3367650193,5,2022-02-15T00:58:24.349+0000,이번엔 넉넉하게 6박스 시켰너용
19,3367245160,5,2022-02-14T06:19:50.479+0000,너무 저렴하게 잘 샀고 맛있어요
0,3353878109,5,2022-01-24T12:21:06.689+0000,"석류콜라겐젤리 다 먹고 타트체리가 불면증에 좋다길래 함께 구매해봤어요
맛은 약간 한약맛? 비슷한 맛이 나요 석류가 좀 더 맛있긴한거 같아요 그래도 먹을만 해요
효과 있음 좋겠네요~^^"
1,3369688976,5,2022-02-17T08:15:45.747+0000,좋은 상품 감사합니다.😊
2,3358867348,5,2022-02-03T10:06:41.591+0000,엄마 선물해드렸어요 ㅎ 넘 좋아하시네요 다먹기전에 또 사러와야겠어여~
3,3364666697,3,2022-02-10T17:23:17.259+0000,생각보다 맛은 별로 먹기는 편리해서 좋아요
4,3368205355,5,2022-02-15T11:50:00.748+0000,먹기 편해서 재구매요
5,3361700612,5,2022-02-07T08:40:00.905+0000,"배송이 진짜 빨라요~!
선물 잘 전달 했습니다"
6,3367403142,5,2022-02-14T10:58:52.464+0000,"가격대비 성능, 품질 다 좋아요."
7,3359104374,5,2022-02-04T00:57:34.706+0000,"엄마 선물로 주문했어요 ㅎㅎ
젤리라서 먹기도 간편하고 좋네용"
8,3362816735,5,2022-02-08T13:36:08.450+0000,포장도 꼼꼼하게 왔고 맛도 괜찮네요 잘 먹을 수 있을것 같아여
9,3362834683,5,2022-02-08T13:53:57.983+0000,맛있어요가족들이 다들 잘 먹어요~~감사합니다~~^^
10,3366079618,4,2022-02-12T11:15:10.268+0000,좋아요 꾸준히 먹어서 효과 있으면 좋겠어요
11,3365199942,4,2022-02-11T08:31:32.956+0000,맛은 쫌 찜해요 달달하진 않아서 ..그래도 쓴게 약이라 생각하고 피부가  탱탱해진  느낌 받았써요 하루에 한포 먹으라 하는데 두포 세포 먹는중 입니다 ..피부 좋아지는걸 느껴서서 욕심에
12,3357004184,5,2022-01-29T03:09:08.877+0000,"빠른배송에 감사드립니다
꼼꼼하게 보내주셔서 고맙습니다
맛있어서 벌써 뜯어 먹었네요
사진도 못찍구요."
13,3358373625,3,2022-02-02T09:00:51.171+0000,계속먹던거라 샀어요~열심히 먹겠습니다~재구매의사 있습니다
14,3361428835,5,2022-02-07T03:26:21.078+0000,매번 시켜먹어요 엄마가 잘 드세여 ~~
15,3361713109,5,2022-02-07T08:57:42.521+0000,"3번째 주문했어요~^^
젤리가 쫀득쫀득해서 맛있어요~👍😄"
16,3358880361,5,2022-02-03T10:32:54.115+0000,"배송빨라요^^
엄마가 드시는데 주문해 달라고 해서 재구매 했어요~"
17,3367119929,5,2022-02-14T03:24:33.175+0000,와이프줄려고 샀습니다.
18,3365011800,5,2022-02-11T04:54:26.535+0000,먹기편해요 냉장보관했다가 먹음좋아요
19,3359746546,5,2022-02-04T15:12:59.546+0000,맛있어요 먹기도 좋고 다 먹어서 재구매 하려구요
